,0,1,2,3,4,5
214,34.,Sibiu,18266,53,"1,14",
215,35.,Suceava,18203,22,"1,88",
216,36.,Teleorman,8731,16,"1,21",
217,37.,Timis,31212,126,"3,48",
218,38.,Tulcea,5991,17,"1,02",
219,39.,Vaslui,11759,38,"1,2",
220,40.,Valcea,10850,16,"1,18",
221,41.,Vrancea,7640,9,"0,61",
222,42.,Mun. Bucuresti,115932,400,"2,32",
223,43.,Cazuri noi nealocate pe judete,1434*,-443,,
224,25-ian, TOTAL,712.561,1.551,,
225,Nr. crt.,Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,
226,1.,Alba,13567,35,"1,53",
227,2.,Arad,15478,47,"1,25",
228,3.,Arges,20049,33,"0,78",
229,4.,Bacau,18399,67,"1,32",
230,5.,Bihor,19760,65,"1,55",
231,6.,Bistrita-Nasaud,8109,20,"1,06",
232,7.,Botosani,9583,71,"1,54",
233,8.,Brasov,28196,132,"2,11",
234,9.,Braila,9213,16,"1,06",
235,10.,Buzau,8888,14,"0,53",
236,11.,Caras-Severin,7514,9,"1,58",
237,12.,Calarasi,7017,15,"0,86",
238,13.,Cluj,34786,76,"2,79",
239,14.,Constanta,29485,76,"1,77",
240,15.,Covasna,5475,11,"0,72",
241,16.,Dambovita,16315,59,"1,13",
242,17.,Dolj,17117,63,"1,25",
243,18.,Galati,18502,92,"1,56",
244,19.,Giurgiu,7201,25,"1,13",
245,20.,Gorj,5614,31,"0,75",
246,21.,Harghita,5729,17,"0,62",
247,22.,Hunedoara,13249,76,"1,34",
248,23.,Ialomita,7517,20,"0,91",
249,24.,Iasi,30751,109,"0,71",
250,25.,Ilfov,28016,78,"2,83",
251,26.,Maramures,13049,133,"2,55",
252,27.,Mehedinti,5494,19,"0,81",
253,28.,Mures,16420,43,"0,98",
254,29.,Neamt,12435,55,"1,24",
255,30.,Olt,10421,30,"0,53",
256,31.,Prahova,25722,71,"0,9",
257,32.,Satu Mare,8157,59,"1,73",
258,33.,Salaj,7011,29,"1,87",
259,34.,Sibiu,18294,28,"1,2",
260,35.,Suceava,18315,112,"1,82",
261,36.,Teleorman,8797,66,"1,19",
262,37.,Timis,31386,174,"3,42",
263,38.,Tulcea,6003,12,"0,93",
264,39.,Vaslui,11791,32,"1,11",
265,40.,Valcea,10899,49,"1,16",
266,41.,Vrancea,7661,21,"0,6",
267,42.,Mun. Bucuresti,116242,310,"2,24",
268,43.,Cazuri noi nealocate pe judete,1811*,377,,
269,26-ian, TOTAL,715.438,2.877,,
270,Nr. crt.,Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,
271,1.,Alba,13621,54,"1,48",
272,2.,Arad,15520,42,"1,16",
273,3.,Arges,20097,48,"0,78",
274,4.,Bacau,18447,48,"1,24",
275,5.,Bihor,19836,76,"1,51",
276,6.,Bistrita-Nasaud,8144,35,"1,00",
277,7.,Botosani,9637,54,"1,53",
278,8.,Brasov,28363,167,"2,15",
279,9.,Braila,9242,29,"1,00",
280,10.,Buzau,8903,15,"0,48",
281,11.,Caras-Severin,7553,39,"1,51",
282,12.,Calarasi,7074,57,"0,87",
283,13.,Cluj,34984,198,"2,71",
284,14.,Constanta,29623,138,"1,74",
285,15.,Covasna,5496,21,"0,71",
286,16.,Dambovita,16363,48,"1,08",
287,17.,Dolj,17186,69,"1,15",
288,18.,Galati,18595,93,"1,49",
289,19.,Giurgiu,7208,7,"1,12",
290,20.,Gorj,5638,24,"0,77",
291,21.,Harghita,5757,28,"0,63",
292,22.,Hunedoara,13352,103,"1,29",
293,23.,Ialomita,7559,42,"0,95",
294,24.,Iasi,30858,107,"0,63",
295,25.,Ilfov,28095,79,"2,7",
296,26.,Maramures,13192,143,"2,57",
297,27.,Mehedinti,5515,21,"0,81",
298,28.,Mures,16496,76,"1,02",
299,29.,Neamt,12502,67,"1,23",
300,30.,Olt,10453,32,"0,52",
301,31.,Prahova,25808,86,"0,91",
302,32.,Satu Mare,8204,47,"1,69",
303,33.,Salaj,7064,53,"1,9",
304,34.,Sibiu,18342,48,"1,13",
305,35.,Suceava,18443,128,"1,84",
306,36.,Teleorman,8847,50,"1,23",
307,37.,Timis,31631,245,"3,36",
308,38.,Tulcea,6023,20,"0,85",
309,39.,Vaslui,11857,66,"1,13",
310,40.,Valcea,10922,23,"1,2",
311,41.,Vrancea,7679,18,"0,53",
312,42.,Mun. Bucuresti,116618,376,"2,07",
313,43.,Cazuri noi nealocate pe judete,1865*,54, ,
314,27-ian, TOTAL,718.612,3.174, ,
